Date,Open,High,Low,Close,Volume,Adj Close
2011-08-02,81.67,82.14,78.93,78.93,6676900,78.93
2011-08-01,83.31,83.82,81.24,82.34,4448700,82.34
2011-07-29,82.19,83.73,81.50,82.84,4868900,82.84
2011-07-28,84.10,84.37,82.82,82.92,4663500,82.92
2011-07-27,85.51,85.60,83.51,83.74,6100200,83.74
2011-07-26,87.03,87.24,85.60,86.18,4617800,86.18
2011-07-25,86.65,87.87,86.30,87.32,3319000,87.32
2011-07-22,88.81,88.91,87.67,87.70,3645200,87.70
2011-07-21,88.48,89.00,87.81,88.21,4948700,88.21
2011-07-20,87.65,87.65,85.67,87.22,6249100,87.22
2011-07-19,87.98,89.56,87.94,88.82,5006600,88.82
2011-07-18,88.01,88.13,86.81,87.62,3687700,87.62
2011-07-15,88.12,88.60,87.62,88.32,4151100,88.32
2011-07-14,87.91,89.16,87.61,87.82,3146700,87.82
2011-07-13,88.70,89.34,87.99,88.17,3733500,88.17
2011-07-12,89.44,89.46,88.33,88.46,5023800,88.46
2011-07-11,89.35,89.92,88.82,89.13,4907700,89.13
2011-07-08,90.50,90.97,89.95,90.35,4522000,90.35
2011-07-07,91.01,91.83,90.76,91.39,6313700,91.39
2011-07-06,89.63,90.61,89.35,90.42,4331500,90.42
2011-07-05,89.86,90.57,89.22,89.51,4046900,89.51
2011-07-01,88.72,90.53,88.36,90.13,4483700,90.13
2011-06-30,86.71,89.65,86.63,88.51,4599500,88.51
2011-06-29,87.25,87.25,85.99,86.47,4216700,86.47
2011-06-28,85.87,86.59,85.47,86.55,4324200,86.55
2011-06-27,84.01,85.78,83.74,85.33,3187500,85.33
2011-06-24,85.10,85.27,83.84,84.33,4409500,84.33
2011-06-23,84.32,85.19,83.69,85.12,5001300,85.12
2011-06-22,85.27,86.21,85.17,85.44,3393200,85.44
2011-06-21,85.79,86.10,85.14,85.56,4387500,85.56
2011-06-20,84.36,85.88,84.19,85.54,3581100,85.54
2011-06-17,84.99,85.26,84.49,84.57,6200400,84.57
2011-06-16,83.34,84.64,83.09,84.35,4921900,84.35
2011-06-15,83.20,83.95,82.83,83.27,3542700,83.27
2011-06-14,83.36,84.42,83.34,84.02,4021500,84.02
2011-06-13,82.92,83.23,82.52,82.77,3385500,82.77
2011-06-10,83.61,83.86,82.60,82.70,4282200,82.70
2011-06-09,83.33,84.52,82.97,84.09,3887200,84.09
2011-06-08,83.63,83.63,82.69,83.04,3134500,83.04
2011-06-07,83.95,84.15,83.24,83.25,3334200,83.25
2011-06-06,82.93,84.05,82.76,83.71,5468100,83.71
2011-06-03,83.11,83.62,82.43,83.24,5073600,83.24
2011-06-02,84.32,84.55,83.70,84.29,4391200,84.29
2011-06-01,87.27,87.53,84.25,84.30,6964800,84.30
2011-05-31,87.00,87.79,86.58,87.77,4745400,87.77
2011-05-27,86.57,86.75,86.07,86.33,2907400,86.33
2011-05-26,86.06,86.59,85.42,86.39,3523200,86.39
2011-05-25,86.26,86.72,85.21,86.26,4042700,86.26
2011-05-24,86.10,86.31,85.55,85.62,3406100,85.62
2011-05-23,86.41,86.52,85.78,86.09,4119800,86.09
2011-05-20,88.10,88.12,87.00,87.50,3933000,87.50
2011-05-19,87.64,88.66,87.56,88.10,3770900,88.10
2011-05-18,87.05,87.47,86.65,87.15,5737000,87.15
2011-05-17,88.61,88.90,87.10,87.82,5112200,87.34
2011-05-16,88.46,89.25,88.09,88.88,3363400,88.39
2011-05-13,89.91,90.02,88.35,88.98,3410200,88.49
2011-05-12,89.14,89.70,88.75,89.57,3800000,89.08
2011-05-11,89.89,90.18,89.31,89.52,4178300,89.03
2011-05-10,89.81,90.12,89.68,89.81,3431300,89.32
2011-05-09,88.88,90.18,88.88,89.52,2584400,89.03
2011-05-06,89.64,90.56,88.95,89.21,5015700,88.72
2011-05-05,89.09,89.54,87.90,88.53,4939200,88.05
2011-05-04,89.95,90.34,88.69,89.38,4469500,88.89
2011-05-03,89.71,90.48,89.48,89.85,3577700,89.36
2011-05-02,90.03,90.67,89.49,90.00,3782000,89.51
2011-04-29,89.16,89.80,88.99,89.58,3642600,89.09
2011-04-28,87.91,89.44,87.65,89.01,4132600,88.52
2011-04-27,87.97,88.12,87.34,87.86,3477400,87.38
2011-04-26,86.78,88.46,86.63,87.86,6000000,87.38
2011-04-25,87.00,87.09,86.29,86.54,3502800,86.07
2011-04-21,86.14,87.27,85.66,87.10,5850300,86.62
2011-04-20,84.82,86.85,84.00,85.90,7949100,85.43
2011-04-19,81.72,82.47,81.72,82.36,3409800,81.91
2011-04-18,82.62,82.63,81.19,81.70,5489800,81.25
2011-04-15,84.08,84.20,83.16,83.45,4462500,82.99
2011-04-14,83.73,84.02,82.70,83.98,3046600,83.52
2011-04-13,84.48,84.77,83.35,84.21,3747200,83.75
2011-04-12,84.51,84.77,83.50,83.98,3266300,83.52
2011-04-11,85.00,85.56,84.79,84.98,2418700,84.52
2011-04-08,85.63,85.97,84.18,84.81,2584800,84.35
2011-04-07,85.45,86.00,84.66,85.36,2584500,84.89
2011-04-06,85.81,85.99,85.19,85.66,2011900,85.19
2011-04-05,85.00,85.60,84.58,85.40,2409800,84.93
2011-04-04,85.67,85.71,84.92,85.23,2075900,84.76
2011-04-01,85.09,85.95,84.90,85.32,3300200,84.85
2011-03-31,83.98,85.11,83.96,84.65,3566900,84.19
2011-03-30,84.42,84.57,83.97,84.23,2441500,83.77
2011-03-29,83.57,84.25,83.26,84.12,3435300,83.66
2011-03-28,83.75,84.10,83.35,83.47,3554800,83.01
2011-03-25,83.01,83.59,82.79,83.52,4017500,83.06
2011-03-24,81.99,82.90,81.77,82.76,3257700,82.31
2011-03-23,80.86,82.26,80.81,81.86,3930200,81.41
2011-03-22,81.52,81.53,80.57,80.88,4513700,80.44
2011-03-21,81.30,82.02,80.92,81.46,3260700,81.01
2011-03-18,80.50,80.91,79.82,80.16,6056600,79.72
2011-03-17,79.38,79.90,79.00,79.49,4543600,79.06
2011-03-16,79.32,79.60,78.19,78.33,6153700,77.90
2011-03-15,78.48,80.01,77.05,79.51,5728200,79.08
2011-03-14,80.74,81.23,80.31,80.74,3727400,80.30
2011-03-11,80.64,81.62,80.26,81.28,4183800,80.84
2011-03-10,82.17,82.26,80.57,80.92,6601000,80.48
2011-03-09,83.13,83.20,82.03,82.89,3805400,82.44
2011-03-08,82.58,84.05,82.15,83.26,3456600,82.80
2011-03-07,83.03,83.71,81.90,82.28,3852100,81.83
2011-03-04,83.68,83.81,82.20,82.86,3985900,82.41
2011-03-03,82.44,84.25,82.35,83.85,3983700,83.39
2011-03-02,82.28,82.54,81.42,82.05,3866000,81.60
2011-03-01,83.73,84.03,81.92,82.08,4013100,81.63
2011-02-28,83.58,84.20,83.31,83.54,3208300,83.08
2011-02-25,83.33,83.55,82.90,83.37,2607200,82.91
2011-02-24,82.62,83.38,81.81,82.72,3531800,82.27
2011-02-23,83.76,84.25,82.25,82.79,5237100,82.34
2011-02-22,84.54,84.69,83.18,83.56,4174100,83.10
2011-02-18,84.74,85.03,84.58,85.01,3808800,84.55
2011-02-17,84.67,85.00,84.25,84.54,3317700,84.08
2011-02-16,84.86,85.13,84.41,85.06,2995800,84.60
2011-02-15,85.11,85.11,84.49,84.93,2818100,84.04
2011-02-14,85.07,85.44,84.90,85.21,2783800,84.32
2011-02-11,84.64,85.46,84.46,85.20,2974500,84.31
2011-02-10,84.37,85.15,84.34,84.75,4426500,83.86
2011-02-09,83.72,84.00,83.22,83.98,3089400,83.10
2011-02-08,83.11,83.94,83.10,83.88,2576500,83.00
2011-02-07,82.85,83.82,82.73,83.66,3573500,82.79
2011-02-04,82.33,82.60,82.01,82.52,2834400,81.66
2011-02-03,82.16,82.31,81.58,82.22,2277200,81.36
2011-02-02,81.84,82.54,81.68,82.16,2748700,81.30
2011-02-01,81.63,82.06,81.43,81.83,3524700,80.98
2011-01-31,81.80,81.99,80.66,81.30,4292700,80.45
2011-01-28,82.87,83.08,80.71,81.43,4563600,80.58
2011-01-27,81.94,82.99,81.80,82.59,4450000,81.73
2011-01-26,81.68,81.95,80.76,81.41,5314200,80.56
2011-01-25,81.46,81.73,80.88,81.73,4495700,80.88
2011-01-24,80.26,81.54,80.26,81.52,4741200,80.67
2011-01-21,79.90,80.50,79.76,80.20,4613200,79.36
2011-01-20,79.62,79.91,78.98,79.55,3941000,78.72
2011-01-19,79.67,80.00,79.17,79.91,4108900,79.08
2011-01-18,79.28,79.75,79.19,79.57,3794700,78.74
2011-01-14,79.20,79.31,78.69,79.08,4624000,78.25
2011-01-13,79.49,79.76,79.15,79.50,2694500,78.67
2011-01-12,79.57,79.90,79.24,79.43,3242200,78.60
2011-01-11,78.60,79.18,78.47,78.92,3474600,78.10
2011-01-10,78.27,78.69,77.81,78.46,3301600,77.64
2011-01-07,79.14,79.69,78.63,79.08,2771900,78.25
2011-01-06,79.41,79.75,79.04,79.15,3486400,78.32
2011-01-05,78.59,79.56,78.59,79.23,2820600,78.40
2011-01-04,78.59,79.48,78.40,79.12,3659000,78.29
2011-01-03,79.19,79.42,78.96,78.99,3059800,78.17
2010-12-31,78.80,78.82,78.25,78.72,1782200,77.90
2010-12-30,78.92,79.12,78.61,78.85,1504400,78.03
2010-12-29,79.46,79.67,79.09,79.10,1559100,78.27
2010-12-28,79.57,79.57,79.04,79.29,2066300,78.46
2010-12-27,79.37,79.40,78.98,79.27,1388800,78.44
2010-12-23,79.49,79.60,79.20,79.50,1862200,78.67
2010-12-22,79.38,79.70,79.07,79.52,2123600,78.69
2010-12-21,79.03,79.47,78.56,79.35,2834700,78.52
2010-12-20,79.38,79.50,78.79,78.90,2802500,78.08
2010-12-17,78.83,79.08,78.38,78.80,5386500,77.98
2010-12-16,78.83,79.25,78.59,79.02,3049600,78.19
2010-12-15,78.71,79.41,78.58,78.95,3970500,78.13
2010-12-14,77.82,79.01,77.82,78.85,3549200,78.03
2010-12-13,78.84,78.84,78.11,78.15,3752500,77.33
2010-12-10,78.49,78.83,78.07,78.40,3822900,77.58
2010-12-09,78.14,78.21,77.42,77.63,3863200,76.82
2010-12-08,78.66,79.02,77.35,77.69,5382300,76.88
2010-12-07,79.41,79.41,78.37,78.54,4477600,77.72
2010-12-06,78.58,78.80,78.23,78.41,2699100,77.59
2010-12-03,78.42,78.81,78.29,78.74,3225500,77.92
2010-12-02,78.39,79.36,78.10,78.70,4843700,77.88
2010-12-01,76.54,78.49,76.54,78.26,7949400,77.44
